snippet,headline__main,year_mo,compound,negative,neutral,positive
"A study by the American Association of University Women found that in 2009, women who had graduated college a year earlier and worked full time were paid 82 percent as much as their male counterparts.",Study Says Gender Gap in Pay Starts Early,201210,0,0,1,0
The Senate Finance committee said the medical device maker added assertions that its spine treatment product was better than a competitor’s product.,Panel Says Medtronic Edited Product Studies,201210,0.4404,0,0.873,0.127
"Austin Reed Sigg, a 17-year-old community college student, was arrested Tuesday night in the kidnapping and murder of Jessica Ridgeway, 10, who disappeared this month while walking to school.",Colorado: Teenager Held in 10-Year-Old Girl’s Killing,201210,-0.8658,0.28,0.72,0
"The parole board concluded that the time Michael Skakel has served was not punishment enough for murdering Martha Moxley, who was 15.",Skakel Is Denied Parole in ’75 Moxley Killing,201210,-0.3964,0.16,0.743,0.098
"Prosecutors dropped charges against Ehud Halevy, which they said could not be proved beyond a reasonable doubt.",Man Beaten by Police at Jewish Youth Center Describes Encounter,201210,-0.5574,0.247,0.753,0
"The winning lottery numbers for Oct. 24, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201210,0.5267,0,0.805,0.195
"Li Hangbin, accused with his common-law wife in the shaking death of their 70-day-old daughter, rejected a deal that would have allowed him to be freed from Rikers Island after more than four years.","Man Rejects Plea and Release, Choosing Trial in His Baby’s Death",201210,-0.8126,0.266,0.67,0.065
"The officer was shot in the chest Wednesday night but pursued three robbery suspects near Bronx Community College, the authorities said.","Shot After Interrupting a Robbery, an Off-Duty Officer Kills a Suspect",201210,-0.4767,0.134,0.866,0
"Senator Harry Reid’s political machine could hold the key to a victory for President Obama in the economically ravaged state, as both Mr. Obama and Mitt Romney seek coveted electoral votes.",Reid’s Machine Powers Obama in Nevada Test,201210,0,0,1,0
"Neither team played particularly well, and the Knicks lost another starter before the game was a minute old, as Tyson Chandler banged his left knee.",Knicks Beats Nets on Night When Everything Seems Off,201210,0.3597,0.082,0.748,0.171
"A white paper on energy policy said the Chinese government pledged strict safety standards in the wake of last year’s reactor accident in Fukushima, Japan.",China Slows Development of Nuclear Power Plants,201210,0.2023,0.107,0.724,0.169
The Conigliaro family’s enterprises are under intense scrutiny by federal and state authorities and personal-injury lawyers after a deadly meningitis outbreak linked to their compounding pharmacy.,Spotlight Put on Founders of Drug Firm in Outbreak,201210,0.0772,0,0.949,0.051
"A Catholic traditionalist group has expelled Bishop Richard Williamson, who deeply embarrassed the Vatican by denying the Holocaust.",Traditionalist Group Ousts a Bishop,201210,-0.7346,0.339,0.661,0
"Pope Benedict XVI named six new cardinals on Wednesday, all younger than 80 and from Lebanon, Nigeria, Colombia, the Philippines and India.",Vatican: Diverse List of New Cardinals,201210,0,0,1,0
"Hurricane Sandy, the biggest storm to hit the island in 24 years, raked over the entire island on its way to eastern Cuba.",Jamaica: Direct Hit From Hurricane Sandy,201210,0,0,1,0
"Bernard von NotHaus, a professed monetary architect, will soon be sentenced for minting and distributing a form of private money called the Liberty Dollar.",Prison May Be the Next Stop on a Gold Currency Journey,201210,0.5106,0.045,0.816,0.139
The notion of an All-Star center is officially defunct — at least on the ballot that determines N.B.A. All-Stars.,N.B.A. Alters Ballot,201210,0,0,1,0
"Serena Williams beat the 2011 French Open champion, Li Na, 7-6 (1), 6-3, for her second win in round-robin play at the WTA Championships in Istanbul.",Serena Williams Wins,201210,0.9231,0,0.623,0.377
"Padraig Harrington won the PGA Grand Slam of Golf in Southampton, Bermuda, closing with a four-under 67 for a one-shot win over the United States Open champion Webb Simpson.",Harrington Prevails,201210,0.9393,0.064,0.515,0.422
Germany’s Bundesliga champion Borussia Dortmund held on for a 2-1 win over visiting Real Madrid on a day of upsets in the Champions League on Wednesday.,Day of Upsets in Europe,201210,0.8625,0.074,0.595,0.33
"Game On Dude, who lost in the Breeders’ Cup Classic last year, was one of 180 horses, including eight defending or former champions, entered in the 15 Breeders’ Cup races Nov. 2-3 at Santa Anita.",180 Entered in the Breeders’ Cup,201210,0.2732,0.059,0.853,0.088
The mother of the two teenage boys arrested in connection with Autumn Pasquale’s murder gleaned the information that made her suspect their involvement from Facebook.,A South Jersey Town Grieves After a Girl’s Murder,201210,-0.875,0.313,0.688,0
Lou Brissie went from the brink of having his left leg amputated in World War II to playing for the 1949 American League All-Star team at Ebbets Field in Brooklyn.,Despair and Triumph of a Soldier and Player,201210,-0.4767,0.116,0.831,0.053
"Congregation Tifereth Israel, built in 1911, was likely to be demolished before a new community of worshipers in the late 1990s undertook a campaign to save it.",New Hope and Fresh Paint for Synagogue in Queens,201210,0.6249,0,0.819,0.181
"At a time when New York State says it is recording big growth in the industry, Gov. Andrew M. Cuomo pledged policy changes for producers on some regulatory matters.","In Albany, Honoring Producers of Alcohol",201210,0.4019,0,0.875,0.125
"The New York Rangers, rich in tradition and revenue, should not expect to lose many fans when the Islanders move to Brooklyn.",Rangers Have No Reason to Worry About the Box Office,201210,0.7057,0,0.773,0.227
"Charles B. Wang, the Islanders’ owner, was a hockey novice from the start. He has had some curious ideas on shaping the franchise.",An Owner With Some Eyebrow-Raising Moves,201210,0.3182,0,0.901,0.099
"In 2000, Charles B. Wang and Sanjay Kumar bought the New York Islanders and vowed to halt the team’s long fall. Like his predecessors, Wang has fought a losing battle.",Capsized Franchise Has Only Sunk Further Into Despair,201210,-0.6124,0.214,0.714,0.071
Jeremy Kerley has recovered from a preseason hamstring injury that had Coach Rex Ryan grumbling to become the Jets’ leading receiver.,"Target of Ryan in Preseason, and of Sanchez Now",201210,-0.4215,0.128,0.872,0
"Corrections appearing in print on October 25, 2012.","Corrections: October 25, 2012",201210,0,0,1,0
"After their season-opening loss to visiting Dallas, the N.F.C. East-leading Giants travel to Cowboys Stadium, where they have not lost in three games, for Sunday’s game.",Rematch Against Cowboys Has the Giants’ Attention,201210,-0.0869,0.081,0.849,0.069
The family of Raymond Facey lamented the randomness and heartlessness of the shootings that left him and a Nassau County police officer dead.,"A Conscientious Driver, a Gunman and a Fatal Encounter on L.I.",201210,-0.8885,0.356,0.644,0
"Some of the nastiest and most personal House battles in the country can found in Florida, where one candidate told another to “shut up” in a debate.",Politics Can Be a Dirty Business. And Then There Are House Races in Florida ...,201210,-0.7402,0.207,0.793,0
"After being the N.F.L. offensive rookie of the year last season, quarterback Cam Newton is grasping for answers as the Panthers have lost five of their first six games.",Panthers Look to Newton to Turn Things Around,201210,-0.6486,0.164,0.836,0
The arrest of a Brazilian banker on fraud charges has focused attention on the weaknesses of small banks there.,Arrest of Brazil Financier Puts Focus on Small Banks,201210,-0.802,0.409,0.492,0.098
Mitt Romney is savoring the new energy around his candidacy and dwelling less on the main obstacle ahead: the Electoral College.,"Romney Is Upbeat, but Math Is the Same",201210,-0.0772,0.105,0.759,0.135
"As the investigation into the BBC’s handling of Jimmy Savile continues, the actions of its former director general, Mark Thompson, are coming under increased scrutiny.",British Parliament Questions Former BBC Chief’s Role,201210,0.2732,0,0.92,0.08
"The advice, for women in their third trimester, follows a resurgence of the disease and is only the second time a vaccine has been advised for all women during pregnancy.",Whooping Cough Vaccine Urged for Pregnant Women,201210,0,0,1,0
"Some fans would prefer to rename the Brooklyn-bound Islanders, but finding a suitable alternative is a tough task.",A Team by Any Other Name May Be Less Confusing,201210,-0.1901,0.104,0.896,0
"The ugly campaign between Joe Walsh and Tammy Duckworth stands out for its saturating quantities of rancor, negativity and free-flowing cash.",The Money Trail in Illinois,201210,-0.765,0.258,0.742,0
The F.D.R. memorial is a stirring tribute to a leader whose ideas of freedom remain relevant well beyond his time.,"F.D.R.’s Vision, Remembered in Stone",201210,0.743,0,0.717,0.283
"Judge Fletcher generally wrote liberal opinions on matters like employment discrimination, environmental protection and the death penalty",Betty Binns Fletcher Dies at 89; Liberal Stalwart on the Bench,201210,-0.6486,0.294,0.553,0.153
A court has blocked executions in Kentucky. Now the state should abolish capital punishment.,Kentucky’s Egregious Death Penalty,201210,-0.6486,0.325,0.675,0
Mr. Blatnick overcame cancer to win gold in Greco-Roman wrestling at the 1984 Summer Games in Los Angeles.,"Jeff Blatnick, 55, Dies; Won Olympic Gold in Wrestling",201210,-0.1531,0.182,0.661,0.157
A New Jersey case over whether a woman can be called the mother of the child she and her husband had through a surrogate shows the murkiness of surrogacy laws in the United States.,Court’s Split Decision Provides Little Clarity on Surrogacy,201210,0.4215,0,0.915,0.085
Eli Lilly and Bristol-Myers Squibb reported lower-than-expected earnings as their former top-selling medicines were pounded by cheaper generic drugs.,Lilly and Bristol-Myers Profit Hurt by Generic Competition,201210,0,0,1,0
David Twede of the Web site MormonThink posted articles on several Web sites criticizing Mormon beliefs and Mitt Romney.,Blogger Facing Sanction Quits Mormon Church,201210,-0.3612,0.122,0.878,0
Tiger Woods rolled in five birdies on the back nine and finished with a five-under 66 to trail first-round leader Troy Matteson by three shots at the Malaysian Open in Kuala Lumpur.,Woods in the Hunt in Malaysia,201210,0,0,1,0
The wave of passion that coursed through President Obama’s headquarters in 2008 has been replaced with a methodical approach to manufacturing the winning coalition — a more arduous task with no guarantee of success.,Obama Campaign Endgame: Grunt Work and Cold Math,201210,0.8885,0.053,0.621,0.327
"Lolo Jones, a two-time Olympic hurdler, was one of 24 athletes announced as members of this season’s United States bobsled team.",Olympic Track Star Part of U.S. Bobsled Team,201210,0.4215,0,0.872,0.128
Lazio and Tottenham endured frustrating nights in the Europa League as both were held to 1-1 draws.,Lazio and Spurs Tie in Europa League,201210,-0.4404,0.153,0.847,0
"Pablo Sandoval’s three home runs to lead the Giants to an 8-3 victory over the Tigers on Wednesday night could not prevent it from being the least-viewed opener on record, according to Nielsen.",Viewership Declines for Game 1,201210,-0.0191,0.032,0.968,0
"Once viewed as likely to win the Senate, Republicans have at times made their own path harder.",Bad Luck and Missteps Make G.O.P.’s Senate Climb Steeper,201210,0.5859,0,0.808,0.192
The Treasury Department said Thursday that a communications firm with close ties to President Obama talked to the administration about allowing tax breaks for its corporate clients on more than $1 trillion in offshore revenues.,Treasury Says Firm Discussed Tax Break,201210,0.2023,0,0.948,0.052
"A genial presence in a hard-nosed sport, Mr. Steward trained more than 30 world champions, including Lennox Lewis and Evander Holyfield.",Emanuel Steward Dies at 68; Trainer of Boxing Champions,201210,0.7351,0,0.733,0.267
"Enrollment in the program grew only modestly as well, but that may change as millions of people are due to become eligible in 2014 under the new national health care law, a survey found.","Spending on Medicaid Has Slowed, Survey Finds",201210,0.705,0,0.841,0.159
"There are plenty of alternatives to the Islanders for Long Island sports fans, including the Ducks, a baseball team, and the Lizards, a lacrosse team.","Don’t Fret, Islanders; There Are Ducks and Lizards",201210,0,0,1,0
Firefighters arriving at a burning apartment in the Kingsbridge neighborhood found a woman dead under a mattress and a child with serious injuries who later died.,A Woman and an Infant Are Dead After a Fire in a Bronx Apartment,201210,-0.8481,0.326,0.674,0
The police found a 9-millimeter semiautomatic pistol that they said Darrell Fuller used in the shootings of Officer Arthur Lopez and Raymond Facey and used to stage his own shooting.,"Rampage Suspect Had Help Disposing Gun, Authorities Say",201210,0,0,1,0
Pope Benedict XVI’s former butler Paolo Gabriele was found guilty this month of stealing confidential papal documents and leaking them to a journalist.,The Vatican: Pope’s Former Butler Will Be Moved to a Prison Cell,201210,-0.7579,0.245,0.755,0
The United Nations is setting up a unit to investigate American drone strikes and other targeted killings of terrorist suspects.,Drone Strikes to Be Investigated,201210,-0.9062,0.456,0.453,0.091
The Ugandan government threatened to rethink its role in regional diplomacy after being accused of supporting rebels in the Democratic Republic of Congo.,Uganda: U.N. Report Provokes Threat to Peacekeeping Efforts,201210,-0.4767,0.242,0.657,0.1
"The former N.F.L. quarterback Brett Favre is the offensive coordinator for the Oak Grove Warriors in Hattiesburg, Miss. The team is 7-2 and averaging more than 30 points a game.","Favre Is Still Running an Offense, From the Sideline",201210,-0.5574,0.146,0.854,0
"After school, Felicia Garcia walked to the Staten Island Railway station where many students board trains home and hurled herself backward onto the tracks.","On Staten Island, Relentless Bullying Is Blamed for a Teenage Girl’s Suicide",201210,0,0,1,0
"The police in a heavily Tibetan region of China are offering $7,700 for information on those orchestrating the self-immolations to protest Chinese rule.",China: Police Offer Rewards for Leads on Self-Immolations,201210,-0.25,0.087,0.913,0
"Because of Id al-Adha, alternate-side street-cleaning regulations will be suspended in New York City on Friday.",Parking Rules,201210,-0.4767,0.171,0.829,0
"Tyson Chandler, who has a bone bruise in his knee, may play in the season opener. At this point, the Knicks can count on only two healthy starters.",Ailing Knicks Receive Good News on Chandler,201210,0.6249,0,0.831,0.169
"Despite opposition from many of her own neighbors, Christine C. Quinn, the City Council speaker, brokered an agreement to allow a developer to build offices over the popular market.",Quinn Pushes Deal for Development Atop Chelsea Market,201210,0.7845,0,0.76,0.24
The film about former Mayor Edward I. Koch does not sugarcoat New York City’s failures or scrimp on recounting its triumphs.,"‘Koch,’ the Movie, Captures Koch, the 3-Term Mayor",201210,0,0.12,0.76,0.12
"The winning lottery numbers for Oct. 25, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201210,0.5267,0,0.805,0.195
"Our quirky, discerning picks for the most interesting things to do around the state this week.",GTT ★,201210,0.4576,0,0.834,0.166
"Corrections appearing in print on October 26, 2012.","Corrections: October 26, 2012",201210,0,0,1,0
"Once he became chairman, Michael O’Neill meticulously built a case for Vikram Pandit’s ouster, drawing in one person after another until Mr. Pandit had virtually no allies left.",Citi Chairman Is Said to Have Planned Chief’s Exit Over Months,201210,-0.296,0.078,0.922,0
"By naming Senate committee chairmen now, the Texas lieutenant governor may be helping lawmakers and those who have business before the Legislature.",A Little Bit Extra for Lawmakers and Lobbyists,201210,0.296,0,0.905,0.095
"Mr. Barzun was a wide-ranging scholar, educator and author of dozens of books who tried to reconcile the cultural achievements of Europe with the tastes of American life.",Jacques Barzun Dies at 104; Cultural Critic Saw the Sun Setting on the West,201210,0,0,1,0
"A preliminary report says the average college endowment fell by 0.3 percent, in contrast to a gain of 19.2 percent last year.",College Endowment Returns Fall Steeply,201210,0.5267,0,0.848,0.152
The New York agency Brooklyn Brothers and several Hollywood writer and producers have started a joint venture to produce video that promotes products while entertaining viewers.,Lure of Branded Entertainment Gives Rise to a Bicoastal Effort,201210,0.6486,0,0.813,0.187
"State Representative Dan Branch, who heads the House Higher Education Committee, hopes that the lower numbers will help him change the higher education financing system.","Amid Slowing College Enrollment, Fears of Missing Goals",201210,0.5106,0.074,0.741,0.185
"The New York Giants and the Dallas Cowboys have been rivals for more than 50 years and are constantly contrasted by players, fans and broadcasters — on and off the field.",Two Giants Explain the Differences With Dallas,201210,0,0,1,0
The oil company had intended to build a plant in Florida to turn grasses like sorghum and cane into cellulosic biofuel.,BP Ends Plan for Biofuel Plant,201210,0.3612,0,0.884,0.116
Production problems and lax oversight at compounding pharmacies are a threat to public safety and need to be addressed on a nationwide basis.,Deeper Concerns About Drug Compounding,201210,-0.5106,0.227,0.669,0.104
"N.C.A.A. rules permit only one team-provided meal per day, as well as snacks, and critics say that is not enough.",Some Dietitians Say College Athletes Are Underfed,201210,-0.0258,0.099,0.807,0.094
The wireless carrier said its loss more than doubled from the third quarter of 2011.,Sprint Posts a Big Loss on Decline in Subscribers,201210,-0.3182,0.141,0.859,0
"Unknown to historians, a transcript existed of the meeting of Allied nations during the heat of World War II, and three versions were in Washington-area libraries and archives.",Transcript of 1944 Bretton Woods Conference Found at Treasury,201210,-0.5994,0.13,0.87,0
Ms. duPont won six Grand Slam singles titles in the middle decades of the 20th century and also became one of the most dominant doubles players of her era.,"Margaret Osborne duPont, Tennis Champion, Dies at 94",201210,0.6249,0.074,0.737,0.19
"Geno Auriemma, the coach of the UConn women’s basketball team, has suggested lowering the 10-foot rims to help generate more offense and attract more fans.",Idea to Lower Rim for Women’s Basketball Stirs Talk,201210,0.2893,0.14,0.683,0.178
"As a day of frantic campaigning wore on, Mitt Romney borrowed his rival’s elevated message of change, while President Obama emphasized more concrete matters, like early voting.","On a Frenetic Day, Obama Votes and Romney Is for Change",201210,0.0624,0.097,0.766,0.138
"Jonathan Marks, a professor at Penn State, introduced the Jerry Sandusky scandal in his ethics course to a wide range of responses from students, all of them impassioned.",Penn State Students Explore Sandusky Abuse Scandal,201210,-0.4404,0.104,0.896,0
"As his scheduled execution date approaches, Preston Hughes III, a death row inmate, is trying hard to fire his court-appointed lawyer. And he has supporters.",A Death Row Struggle Between Advocates and Lawyers,201210,-0.5859,0.252,0.654,0.095
"The Jets are getting better field position from Tim Tebow, whom Rex Ryan refers to as a “punt protector.”",Where Tebow Is Having a Real Impact,201210,0.4404,0,0.854,0.146
"Campaigns face a gender challenge in appealing to Latinos, whose votes are crucial to President Obama and Mitt Romney.","Campaigns Find That for Many Latinas, Issues Are Personal, and Financial",201210,0.0772,0,0.929,0.071
The Chinese government began blocking access to The Times after publication of an article describing the wealth accumulated by relatives of Prime Minister Wen Jiabao.,China Blocks Web Access to Times After Article,201210,0.1531,0.09,0.799,0.111
"The Mystery Monkey of Tampa Bay was captured by authorities this week, ending a years-long search.","In Florida, a Wily Monkey Finally Meets His Match",201210,0,0,1,0
"The sources of that money echo the sharp divisions between President Obama, Mitt Romney and their parties over issues like abortion rights, the role of government in regulating industry and the country’s economic future.","Obama, Romney and Their Parties on Track to Raise $2 Billion",201210,0.6369,0,0.86,0.14
Defense Secretary Leon E. Panetta says that he and top military commanders felt that they needed more information before deploying troops after the Sept. 11 attack.,Panetta Says Risk Impeded Deployment to Benghazi,201210,-0.2023,0.105,0.782,0.112
The state’s election watchdog filed a lawsuit on Thursday seeking to force an Arizona-based group that gave $11 million to a California political action committee to reveal its donors.,California: Lawsuit Seeks Names of Political Donors,201210,-0.2263,0.068,0.932,0
Prosecutors said Thursday that a teenager accused of killing a 10-year-old Westminster girl confessed to the crime and to an attack on a runner.,Colorado: Police Link Murder and Attack on Runner,201210,-0.9217,0.437,0.563,0
"The Tigers, 1-9 in each of Coach Bob Surace’s first two years, knocked powerhouse Harvard from the unbeaten ranks last week and are 3-0 in the Ivy League for the first time since 1995.",Princeton Tops the Ivy League After 2 Dismal Seasons,201210,0,0,1,0
"The Department of Defense has identified 2,125 American service members who have died as a part of the Afghan war and related operations.",Names of the Dead,201210,-0.7906,0.268,0.679,0.054
The Pennsylvania Public Utility Commission was ordered to cease a process that has held up payments from a statewide levy on gas drilling to the municipalities.,Pennsylvania: Judge Rules Against State Utility Panel,201210,0,0,1,0
The group is fighting a Texas rule that bars its clinics from a state health program for low-income women because the organization performs abortions.,Texas: Planned Parenthood Files a New Lawsuit,201210,-0.3612,0.106,0.894,0
"Without Manti Te’o, now a Heisman Trophy contender, Robby Toma would not have started four games for the Fighting Irish, let alone be playing college football.",Te’o and Toma Brought a Friendship to Notre Dame,201210,-0.296,0.156,0.729,0.115
State election officials failed to overturn a ruling that enabled voters to use photo identification issued by the Memphis public library at the polls.,Tennessee: State Appeals Ruling on Library IDs,201210,-0.5106,0.13,0.87,0
"A hacker broke into the state’s computer system, exposing 3.6 million Social Security numbers and 387,000 credit and debit card numbers.",South Carolina: State Computer System Is Hacked,201210,0.0258,0.189,0.618,0.193
"As frontcourt injuries mount, Coach Mike Woodson may need significant minutes from a veteran, Rasheed Wallace, who is not yet in game shape.",Depleted Knicks Take Closer Look at Wallace,201210,0.2023,0,0.921,0.079
"Quotation of the day for Friday Oct. 27, 2012.","Quotation of the Day for Friday, Oct. 27",201210,0,0,1,0
Never mind his recent resignation: Dinesh D’Souza’s very appointment as president of a small Christian college in 2010 was further evidence of the decline of denominational importance in American Christianity.,Scandal Hints at Decline of U.S. Denominations,201210,0.0772,0.069,0.852,0.079
"Despite new policies requiring Milwaukee police officers to call an ambulance when those in custody complain of pain, distrust of law enforcement continues.",A Death in Custody Puts Focus on Police,201210,-0.8225,0.301,0.699,0
Oil-rich Qatar is investing hundreds of millions of dollars into Paris Saint-Germain and other French properties to build its national brand.,Qatar Is Becoming a Player in French Sports,201210,0,0,1,0
"Despite his impressive numbers, despite a flashy car and both rare hair and rare air, Oregon running back Kenjon Barner also seems perpetually overshadowed.",A Duck’s Odd Path to Prestige,201210,0.5106,0,0.87,0.13
A former student’s newspaper piece about being assaulted and then treated poorly by administrators has prompted Amherst College to re-examine its policies.,Student’s Account Has Rape in Spotlight,201210,-0.5267,0.145,0.855,0
"Luisa Rodriguez was stabbed to death in her apartment, where she and her baby were found under a mattress that had apparently been set on fire, according to the police.",Boyfriend Is Questioned in Killing of Woman and Death of a Baby,201210,-0.8481,0.261,0.739,0
E-mails show that a university official gave a false reason for the removal of an artwork that angered officials in the energy industry.,"Art That Irked Energy Executives Is Gone, but Wyoming Dispute Whirls On",201210,-0.296,0.135,0.779,0.086
Lawrence Williams of Brooklyn was exonerated after spending two years in prison in a case of mistaken eyewitness testimony.,Exoneration for a Man in Prison for 2 Years,201210,-0.4588,0.246,0.636,0.119
"After receiving criticism from fellow Democrats, Gov. Andrew M. Cuomo traveled the state to campaign for Democrats defending their positions in the House of Representatives.",Cuomo Hits Campaign Trail for New York Democrats in Tight House Races,201210,-0.4404,0.108,0.892,0
"Because of Id al-Adha, alternate-side street-cleaning regulations will be suspended in New York City on Saturday.",Parking Rules,201210,-0.4767,0.171,0.829,0
"The winning lottery numbers for Oct. 26, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201210,0.5267,0,0.805,0.195
"Parents who employ nannies use professional matchmakers, background checks, probing questions and their gut instincts, but they say they may still become more vigilant after recent killings.","Nanny Searches, Already Intense, May Become More So",201210,-0.6966,0.185,0.741,0.074
"Polar satellites, which orbit the earth from pole to pole, are a useful tool for forecasting major storms. But existing polar satellites are nearing or beyond their life expectancies.",Tracking the Future of Satellites,201210,0.4404,0,0.903,0.097
"Neighbors and friends said that in recent weeks, Yoselyn Ortega had looked anxious and harried, and had been bedeviled by financial hardship.",Life Was in Chaos for Nanny Accused of Killing 2 Children,201210,-0.3818,0.241,0.647,0.112
"Corrections appearing in print on October 27, 2012.","Corrections: October 27, 2012",201210,0,0,1,0
"In a shift, Americans are taking on more debt than they are shedding, indicating that a more resilient recovery is on the way.",Rise in Household Debt Might Be Sign of a Strengthening Recovery,201210,-0.4201,0.123,0.877,0
"A continued Republican majority is all but a certainty, but that doesn’t mean House races lack for color.",Races for House Offer Little Suspense but Lots of Odd Back Stories,201210,-0.1154,0.152,0.72,0.129
"Lhamo Tseten, aged 24, burned himself to death on Friday. It was the fourth self-immolation this week in an area that Tibetans call Sangchu County.",China: Two Tibetan Self-Immolations,201210,-0.5994,0.14,0.86,0
The Chinese national legislature passed a law on Friday that attempts to prevent people from being involuntarily held and unnecessarily treated in psychiatric facilities.,China: Mental Health Law Passes,201210,0.0258,0,0.952,0.048
"Andrei Sannikov, a prominent dissident from Belarus and former presidential candidate, has been granted political asylum in Britain, his wife said Friday.",England: Belarussian Is Granted Asylum,201210,0.5106,0,0.815,0.185
"Libya’s new leaders have to do better in disarming rebels and providing public services, which would build trust with its citizens.",Making Revolution Work,201210,0.6597,0.069,0.692,0.238
"Some 140 N.H.L. players have joined overseas leagues since the lockout began, including Rangers defenseman Ryan McDonagh, who landed in Kazakhstan.","5,800 Miles From New York, Ranger Finds Hockey and More",201210,0.0258,0,0.948,0.052
"China’s political system is not very transparent, but corporate and financial information is often readily available to the public, through a lawyer or consulting firm.",Obtaining Financial Records in China,201210,0,0,1,0
"Worried about a regulatory crackdown, mutual fund executives are pushing for limited restrictions on a controversial type of fund in an effort to end a dispute with the government.",Mutual Fund Leaders Aim to End Jam Over Rules,201210,-0.765,0.281,0.719,0
"Sergei Udaltsov, a leader of the Left Front, is the most prominent opposition figure to face prison under an increasingly severe Kremlin crackdown on the protest movement against the government of Vladimir V. Putin.",Russia: Charges for Plotting Riots,201210,-0.6494,0.2,0.734,0.066
"With many of California’s House races competitive for the first time in a generation, super PACs are pouring money into the state.",California Redistricting Fuels Competitive Races That Lure Outside Funds,201210,0.6808,0,0.772,0.228
The lower house of the French Parliament voted on Friday to fully reimburse all abortions and to make contraception free for minors from the age of 15 to 18.,France: Free Abortions for Teenagers,201210,0.2732,0.068,0.831,0.102
A federal appeals court said that Argentina’s decision in debt restructurings violated provisions that required the country to treat bondholders equally.,U.S. Court Rules Against Argentina Over Payments,201210,-0.4939,0.23,0.664,0.105
Here are four ads from smaller political action groups that stand out amongst the thousands of ads cluttering the airwaves in the final weeks before the election.,4 Powerful Messages That Stand Out in a Sea of Advertisements,201210,0,0,1,0
"The drugmaker said that third-quarter profit rose 2 percent as lower spending and taxes, plus sales growth for several important medicines, offset new generic competition.",Merck Posts a Small Gain Despite a New Generic Rival,201210,0.6249,0.075,0.678,0.247
"Goodyear Tire & Rubber said its third-quarter net income and revenue dropped on lower tire sales in Europe, setting off a decline of 10 percent in its share price.",Goodyear’s Results Fall on Weakness in Europe,201210,0,0.075,0.85,0.075
"With a sharpened pitch, the public advocate, Bill de Blasio, is talking and listening around the five boroughs ahead of an expected run for mayor.","Eyeing ’13 Mayoral Bid, de Blasio Focuses on Small-Business Issues",201210,0,0,1,0
"“UBS was my family and every single thing I did, every single bit of effort I put into that organization, was for the benefit of the bank,” Kweku Adoboli said at his trial.",Former Trader at UBS Weeps as He Testifies,201210,0.4588,0,0.909,0.091
"Alexander Sanger, chairman of the International Planned Parenthood Council, responds to a news article.",Abortion in Uruguay,201210,0,0,1,0
"Charles J. Hynes, the Brooklyn district attorney, responds to a Crime Scene column.",A False Charge of Murder: The Brooklyn D.A.’s View,201210,-0.5423,0.241,0.759,0
The New York Times’s picks in five important races.,For New York State Senate,201210,0.2023,0,0.816,0.184
"The New York Islanders move to the Barclays Center in Brooklyn, an arena designed to discourage driving, will bring a shift in routine for a largely suburban fan base.","With Team’s Move, Pondering Tailgating on Train",201210,-0.128,0.093,0.831,0.076
Readers respond to a Sunday Review article about a mother’s concern over her twins’ lower test scores.,"The Tests Are Standard, but the Twins Are Not",201210,-0.296,0.136,0.864,0
The anger of southwest Virginia coal miners at the Obama administration is providing an opening for Mitt Romney’s campaign.,"In Virginia, Romney Scours Coal Country for Edge Over Obama",201210,-0.5719,0.171,0.829,0
"Bo Xilai, once a contender for the top tier of the Communist Party leadership, will face a trial for corruption and abuse of power.","No Longer Immune, Former Top Chinese Politician Faces Inquiry",201210,-0.0516,0.149,0.638,0.213
"Tony Romo, statistically, is one of the best quarterbacks in Cowboys history. So why don’t the fans accept him?",Romo’s Many Critics Focus on What He Has Not Done,201210,0.7783,0,0.714,0.286
"Kenny Cooper scored twice, and Thierry Henry added a goal to lift the Red Bulls over the Philadelphia Union, 3-0, in Chester, Pa.",Red Bulls Finish Third,201210,0,0,1,0
"Kenny Cooper scored twice, and Thierry Henry added a goal to lift the Red Bulls over the Philadelphia Union 3-0 on Saturday.",Red Bulls Finish Third,201210,0,0,1,0
"The 16-year-old Canadian Kaetlyn Osmond won the women’s title at Skate Canada in Windsor, Ontario, in her first Grand Prix appearance.",Canadian Wins at Home,201210,0.7717,0,0.739,0.261
"Bo Van Pelt flirted with a rare 59 in a third round that was close to impeccable until the last hole at the CIMB Classic in Kuala Lumpur, Malaysia.",A Sizzling 62 for Van Pelt,201210,-0.0516,0.044,0.956,0
"Unable to work out a contract extension, the Oklahoma City Thunder traded James Harden, the N.B.A.’s sixth man of the year last season, to the Houston Rockets.",Thunder Trade Harden,201210,0,0,1,0
"The couple are both corporate associates at Cravath, Swaine & Moore.","Meredith Holt, Aaron Suh",201210,0,0,1,0
"The couple met at the London School of Economics and Political Science, where each received a master’s degree.",Miranda Kimball and James Swaffield,201210,0,0,1,0
The bride and groom both work for pharmaceutical companies.,"Ksenya Gankina, Yevgeniy Shtutin",201210,0,0,1,0
"The bride, a public defender, and the groom, a pediatrician, are married in South Florida.","Michelle Rosengarten, Gary Kramer",201210,0.1027,0,0.896,0.104
"A wedding in Malibu, Calif.","Anna Kaiser, Carlos Wesley",201210,0,0,1,0
